a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""Simulation: Boosted Enemy Elimination"""
Area0L#0,"""Simulation: Boosted Enemy Elimination"""
Title#0,"""Simulation: Boosted Enemy Elimination"""
Explanation#0,"""This is a simulated training exercise, in which you will battle against an enemy whose abilities have been boosted in accordance with obtained combat data.<br>In this mission, you must defeat a Ruino Gryphon.<br>――――――――――――――――――――――――――――――――――――――――<br><yellow>※Enemy Buffs: Additional attacks at regular intervals<c>"""
Explanation_r2#0,"""This is a simulated training exercise, in which you will battle against an enemy whose abilities have been boosted in accordance with obtained combat data.<br>In this mission, you must defeat a Ruino Gryphon.<br>――――――――――――――――――――――――――――――――――――――――<br><yellow>※Enemy Buffs: Additional attacks at regular intervals/<br>\u3000Becomes Enhanced Enemy<c>"""
Explanation_r3#0,"""This is a simulated training exercise, in which you will battle against an enemy whose abilities have been boosted in accordance with obtained combat data.<br>In this mission, you must defeat a Ruino Gryphon.<br>――――――――――――――――――――――――――――――――――――――――<br><yellow>※Enemy Buffs: Additional attacks at regular intervals/<br>\u3000Becomes Enhanced Enemy/When HP is low, additional enemies appear<c>"""
SimpleExplanation#0,"""Defeat the Ruino Gryphon"""
s0#0,"""Defeat the target enemy"""
normalMsg_1340350#0,"""Defeat the Ruino Gryphon"""
